"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"CDS:b3638:yicR:UPF0758_family_protein:cds3584:-:668:NC_000913.3"	-3.05503277316007	6.91851695616251	35.763545793575	5.26616197089509e-05	0.0106796165046737
"CDS:b0762:acrZ:AcrAB-TolC_efflux_pump_accessory_protein2C_membrane-associated:cds743:+:149:NC_000913.3"	-3.16666617823605	8.09806410206648	35.4415695680094	5.49761891555861e-05	0.0106796165046737
"CDS:b0791:ybhQ:inner_membrane_protein:cds772:+:410:NC_000913.3"	-3.42688644874305	8.17527375362882	34.7082380198264	6.07025790341462e-05	0.0106796165046737
"ncRNA:glmY:rna81:-:183:NC_000913.3"	-3.5604421300272	8.99017809131132	34.5166665059303	6.23106154995363e-05	0.0106796165046737
"CDS:b4409:blr:beta-lactam_resistance_membrane_protein3B_divisome-associated_protein:cds1613:+:125:NC_000913.3"	-3.08720486482226	6.25898366710912	34.0213358772795	6.67027355198653e-05	0.0106796165046737
"CDS:b4705:mntS:Mn28229-response_protein2C_MntR-repressed:cds797:-:128:NC_000913.3"	-3.24399450443975	8.44870561266708	33.9600614705066	6.72706351540375e-05	0.0106796165046737
"CDS:b3029:ygiN:quinol_monooxygenase:cds2978:+:314:NC_000913.3"	-3.52764140669312	9.21366892864224	33.9157990338843	6.76843559472607e-05	0.0106796165046737
"CDS:b3858:yihD:DUF1040_protein_YihD:cds3786:+:269:NC_000913.3"	-2.84417347415825	7.44804631565817	33.8358150134863	6.84394762675403e-05	0.0106796165046737
"CDS:b2833:ygdR:DUF903_family_verified_lipoprotein:cds2792:+:218:NC_000913.3"	-2.89974453596282	7.38870391825214	33.7911239046943	6.88656544787597e-05	0.0106796165046737
"CDS:b1332:ynaJ:DUF2534_family_putative_inner_membrane_protein:cds1318:+:257:NC_000913.3"	-3.9624720833271	7.75829559660128	35.5287261074135	7.02361372202343e-05	0.0106796165046737
"CDS:b2617:bamE:lipoprotein_component_of_BamABCDE_OM_biogenesis_complex:cds2594:+:341:NC_000913.3"	-3.51909466996276	9.26546097158	33.4626127161668	7.20946208686344e-05	0.0106796165046737
"CDS:b0240:crl:fermentation-respiration_switch_protein3B_PTS_Enzyme_IIA28Glc29-binding_protein3B_pNP-butyrate_esterase_activity:cds230:+:70:NC_000913.3"	-3.25730394611211	7.75630018863763	32.7389719880749	7.98473901817867e-05	0.0114465097408987
"CDS:b3626:waaJ:UDP-D-glucose,28galactosyl29lipopolysaccharide_glucosyltransferase:cds3572:-:1016:NC_000913.3"	-2.75946509436328	6.58638292829251	32.4861707651142	8.27807956822394e-05	0.0114789991238748
"CDS:b1895:uspC:universal_stress_protein:cds1887:+:428:NC_000913.3"	-2.86065878516261	7.14620980806489	32.1975659957721	8.6283749394132e-05	0.0114789991238748
"CDS:b3672:ivbL:ilvB_operon_leader_peptide:cds3619:-:98:NC_000913.3"	-3.1606219770524	8.68921647041564	32.0750078581531	8.78231256102034e-05	0.0114789991238748
"CDS:b4023:yjbD:DUF3811_family_protein:cds3937:-:272:NC_000913.3"	-2.78185910700118	7.01209821021687	31.3747305076503	9.72551958953727e-05	0.0123486311588296
"ncRNA:spf:rna151:+:108:NC_000913.3"	-3.80150103304479	9.50530044471588	30.985655561123	0.000103001788280686	0.0127149985310936
"CDS:b1654:grxD:glutaredoxin-4:cds1643:-:347:NC_000913.3"	-3.06580823160771	8.66026741878391	30.2076765761424	0.000115716825557182	0.0138985289939492
"CDS:b4606:ypfM:stress-induced_small_enterobacterial_protein:cds2450:-:59:NC_000913.3"	-3.71438844104277	9.675177314557	29.9102559593565	0.000121052692617445	0.0141567938418927
"CDS:b3291:mscL:mechanosensitive_channel_protein2C_high_conductance:cds3227:+:410:NC_000913.3"	-2.81248081170783	8.05404509764407	29.6858312949454	0.000125268434748269	0.0142741775390079
"CDS:b1273:yciN:DUF2498_protein_YciN:cds1253:-:251:NC_000913.3"	-3.03202718059835	8.53486546136975	29.4521863221963	0.000129839514282514	0.0144251700367873
"CDS:b1792:yeaO:DUF488_family_protein:cds1780:+:347:NC_000913.3"	-3.49251503417607	6.11294988373245	29.2043060262013	0.000134902154555606	0.0146220774352466
"CDS:b3002:yqhA:UPF0114_family_putative_inner_membrane_protein:cds2954:-:494:NC_000913.3"	-2.7627300619342	6.90027221883408	28.7304815578956	0.000145231008021319	0.0150268116394766
"CDS:b1185:dsbB:oxidoreductase_that_catalyzes_reoxidation_of_DsbA_protein_disulfide_isomerase_I:cds1165:-:530:NC_000913.3"	-2.8234939166107	6.67259777814936	28.723103893563	0.000145398942506187	0.0150268116394766
"CDS:b2350:gtrA:CPS-53_28KpLE129_prophage3B_bactoprenol-linked_glucose_translocase_28flippase29:cds2332:+:362:NC_000913.3"	-2.69053976241904	6.20056552700358	28.0131323529171	0.000162667523418924	0.0164294198653114
"CDS:b1839:yebY:DUF2511_family_protein:cds1830:-:341:NC_000913.3"	-2.53961616655874	6.48286931730351	27.81373676727	0.000167937940820467	0.0165848046445813
"CDS:b3923:uspD:stress-induced_protein:cds3850:+:428:NC_000913.3"	-2.54248392607493	7.10459023811742	27.5132697322002	0.000176258891552532	0.0170281416099881
"CDS:b3049:glgS:motility_and_biofilm_regulator:cds2997:-:200:NC_000913.3"	-3.18314655301012	9.00841900874693	27.3005323157648	0.000182440111924208	0.0172502948381102
"CDS:b1983:yeeN:UPF0082_family_protein:cds1964:+:716:NC_000913.3"	-3.04518940544664	8.65127443497747	26.9357013785517	0.000193636068957336	0.0178210097075716
"CDS:b2900:yqfB:UPF0267_family_protein:cds2856:-:311:NC_000913.3"	-2.67643916231628	6.82761839007882	26.8464158758358	0.000196496281654142	0.0178210097075716
"CDS:b0446:cof:thiamine_pyrimidine_pyrophosphate_hydrolase3B_HMP-PP_phosphatase:cds438:+:818:NC_000913.3"	-2.48798504773222	7.11364047383707	26.3222427840718	0.000214311497530402	0.0188199095205505
"CDS:b0328:yahN:amino_acid_exporter_for_proline2C_lysine2C_glutamate2C_homoserine:cds325:-:671:NC_000913.3"	-2.9136581247392	6.46851357248147	26.2757561404115	0.000215980059754293	0.0188199095205505
"CDS:b2280:nuoJ:NADH,ubiquinone_oxidoreductase2C_membrane_subunit_J:cds2264:-:554:NC_000913.3"	2.51087413641405	7.91835178317926	25.6260901851313	0.000240951718227967	0.020332302084132
"CDS:b2670:alaE:alanine_exporter2C_alanine-inducible2C_stress-responsive:cds2638:+:449:NC_000913.3"	-3.30607476687534	5.90171677528312	25.588726709782	0.000242486951048379	0.020332302084132
"CDS:b0410:yajD:HNH_nuclease_family_protein:cds402:+:347:NC_000913.3"	-2.39764384431869	6.4993443300182	25.2681573784841	0.000256136121779102	0.0210790541701172
"CDS:b3237:argR:l-arginine-responsive_arginine_metabolism_regulon_transcriptional_regulator:cds3181:+:470:NC_000913.3"	-2.69061545320619	7.32488377234629	24.9493439787771	0.000270603049579346	0.0218296056207077
"CDS:b0684:fldA:flavodoxin_1:cds670:-:530:NC_000913.3"	-2.67781484121381	8.44605399112531	24.7378414619494	0.000280724292446265	0.0218296056207077
"CDS:b1426:ydcH:DUF465_family_protein:cds1412:+:224:NC_000913.3"	-3.35532899360857	9.41382773272619	24.671946758219	0.000283966940858912	0.0218296056207077
"CDS:b2377:yfdY:DUF2545_family_putative_inner_membrane_protein:cds2361:-:242:NC_000913.3"	-2.80150353747952	6.15861569440813	24.6530501423708	0.000284904843834619	0.0218296056207077
"CDS:b1446:ydcY:uncharacterized_protein:cds1434:+:233:NC_000913.3"	-2.74324640364363	7.93868758145143	24.3406305863088	0.000300944849554005	0.0222458005952285
"ncRNA:omrB:rna104:-:81:NC_000913.3"	-3.29173526358685	7.02822954981755	25.9007485863582	0.00030307017019067	0.0222458005952285
"CDS:b1739:osmE:osmotically-inducible_lipoprotein:cds1727:-:338:NC_000913.3"	-3.1641052837562	8.68841498203594	24.258126271519	0.00030535414858437	0.0222458005952285
"ncRNA:glmZ:rna144:+:206:NC_000913.3"	-3.75588490967912	11.2648839495156	24.1526297572304	0.000311101955242124	0.022298985308
"ncRNA:mgrR:rna48:-:97:NC_000913.3"	-4.11668039891346	10.8150401801023	24.040110744853	0.00031737130937877	0.0223456926408888
"CDS:b4505:insX:IS1_repressor_TnpA:cds259:-:248:NC_000913.3"	-3.27678922142528	5.93053087957951	23.9619939247488	0.000321810155044303	0.0223456926408888
"CDS:b1205:ychH:DUF2583_family_putative_inner_membrane_protein:cds1185:+:278:NC_000913.3"	-3.03881551700114	9.73186012846543	23.6799842951008	0.000338445842484989	0.0231392819077429
"CDS:b3775:ppiC:peptidyl-prolyl_cis-trans_isomerase_C_28rotamase_C29:cds3716:-:281:NC_000913.3"	-2.54102798327036	6.61704108338548	23.4325630239239	0.000353868093927628	0.0234389109330849
"CDS:b3964:yijD:DUF1422_family_inner_membrane_protein:cds3890:+:359:NC_000913.3"	-2.45393860824661	7.78149759712429	23.3699703408997	0.000357897977290606	0.0234389109330849
"CDS:b1562:hokD:Qin_prophage3B_small_toxic_polypeptide:cds1550:-:155:NC_000913.3"	-2.65241653483274	5.8966253708215	23.1853973255116	0.000370095177319224	0.0234389109330849
"CDS:b2111:yehD:putative_fimbrial-like_adhesin_protein:cds2095:-:542:NC_000913.3"	-3.06142342214868	6.19209205285289	23.1638460577665	0.000371550586827571	0.0234389109330849
"CDS:b1902:ftnB:ferritin_B2C_putative_ferrous_iron_reservoir:cds1893:+:503:NC_000913.3"	-2.4868118771794	8.24638980327746	23.0888103795297	0.00037667004024027	0.0234389109330849
"CDS:b0344:lacZ:beta-D-galactosidase:cds340:-:3074:NC_000913.3"	2.51714737279725	6.20698168565661	22.9706315277553	0.000384900071526315	0.0234389109330849
"CDS:b0853:ybjN:negative_regulator_of_motility3B_multicopy_suppressor_of_coaA28Ts29:cds834:+:476:NC_000913.3"	-2.26376016779387	7.53744807691383	22.9696251665417	0.0003849710463305	0.0234389109330849
"CDS:b3764:yifE:UPF0438_family_protein:cds3705:+:338:NC_000913.3"	-3.05025116910761	9.38916448073857	22.9688941120286	0.000385022614337353	0.0234389109330849
"CDS:b0240:crl:fermentation-respiration_switch_protein3B_PTS_Enzyme_IIA28Glc29-binding_protein3B_pNP-butyrate_esterase_activity:cds230:+:330:NC_000913.3"	-2.75505457350506	8.27337208927959	22.7183008044092	0.000403181639514024	0.0242126919729773
"CDS:b0631:ybeD:UPF0250_family_protein:cds627:-:263:NC_000913.3"	-2.80805333112634	7.82208639765383	22.6180593579916	0.000410722720174916	0.0243118203701013
"CDS:b0280:yagN:CP4-6_prophage3B_uncharacterized_protein:cds275:-:440:NC_000913.3"	-2.44513420899575	7.69504531343065	22.5038194540886	0.000419517440894133	0.0243118203701013
"CDS:b0034:caiF:cai_operon_transcriptional_activator:cds32:+:395:NC_000913.3"	-2.81995431933327	6.5337622689606	22.4933388479274	0.000423753081847435	0.0243118203701013
"CDS:b3605:lldD:L-lactate_dehydrogenase2C_FMN-linked:cds3551:+:1190:NC_000913.3"	2.53268964636818	7.03832655469544	22.4123748750372	0.000426715119007179	0.0243118203701013
"CDS:b3022:mqsR:GCU-specific_mRNA_interferase_toxin_of_the_MqsR-MqsA_toxin-antitoxin_system3B_biofilm2Fmotility_regulator3B_anti-repressor:cds2971:-:296:NC_000913.3"	-2.5517971594202	6.0673092933415	22.3255623410011	0.0004336812281499	0.0243959414923817
"CDS:b1824:yobF:DUF2527_family_heat-induced_protein:cds1814:-:143:NC_000913.3"	-3.48541090707103	11.4607609143794	22.0474694403964	0.000456902142936581	0.0253809140401271
"ncRNA:sibC:rna107:+:139:NC_000913.3"	-2.95596603498736	5.75073706566016	21.910229387735	0.000468892219927801	0.0257253953748043
"ncRNA:ryfA:rna80:+:303:NC_000913.3"	-2.28400787489394	7.85441536090596	21.8174294723452	0.000477206960260725	0.0258622894073008
"CDS:b4662:sgrT:inhibitor_of_glucose_uptake:cds67:+:131:NC_000913.3"	-2.36929021150294	7.25652769043091	21.7527261120129	0.000483105668821033	0.0258665252077189
"CDS:b0627:tatE:TatABCE_protein_translocation_system_subunit:cds623:+:203:NC_000913.3"	-2.19969996927369	7.28441836829645	21.4820936592386	0.000508713942438792	0.0265736312348688
"CDS:b0435:bolA:stationary-phase_morphogene2C_transcriptional_repressor_for_mreB3B_also_regulator_for_dacA2C_dacC2C_and_ampC:cds427:+:317:NC_000913.3"	-2.48130016816537	8.25162355772196	21.4725830255516	0.000509642161325401	0.0265736312348688
"CDS:b0391:yaiE:UPF0345_family_protein:cds384:+:284:NC_000913.3"	-2.59827466029083	8.78654071756776	21.3818233601722	0.000518599804748068	0.0265736312348688
"CDS:b0728:sucC:succinyl-CoA_synthetase2C_beta_subunit:cds715:+:1166:NC_000913.3"	2.98149055303714	9.72121007182121	21.3654934206229	0.000520230854508009	0.0265736312348688
"CDS:b2035:wbbH:O-antigen_polymerase:cds2019:-:1166:NC_000913.3"	-2.15292613058397	7.4068282454597	21.1183877335777	0.000545654189586424	0.0275555365741144
"ncRNA:sgrS:rna1:+:226:NC_000913.3"	-2.38248535703233	7.56851455982156	21.0186849056794	0.000556318717518846	0.0276301052869917
"CDS:b3928:zapB:FtsZ_stabilizer3B_septal_ring_assembly_factor2C_stimulates_cell_division:cds3855:+:245:NC_000913.3"	-3.13605889491724	10.6788690894533	20.9887700902277	0.000559565588620445	0.0276301052869917
"CDS:b0557:borD:DLP12_prophage3B_putative_lipoprotein:cds550:-:293:NC_000913.3"	-2.46394701721437	7.6941773072438	20.8764349881243	0.000571956262815219	0.0278456498469449
"CDS:b1277:ribA:GTP_cyclohydrolase_II:cds1259:-:590:NC_000913.3"	-2.19617329763603	7.2169371392568	20.8362793319377	0.000576462598091569	0.0278456498469449
"CDS:b3074:ygjH:putative_tRNA_binding_protein3B_putative_tRNA_corner_chaperone:cds3023:-:332:NC_000913.3"	-2.86110628944464	5.64502503432989	20.6040933728235	0.000603342330359014	0.0284258099178978
"CDS:b3922:yiiS:UPF0381_family_protein:cds3849:+:299:NC_000913.3"	-2.15396952605089	6.93674890683774	20.5946087303571	0.000604470935468651	0.0284258099178978
"CDS:b3180:yhbY:RNA_binding_protein_associated_with_pre-50S_ribosomal_subunits:cds3124:+:293:NC_000913.3"	-2.38718681764024	7.60517811640815	20.5257456697767	0.000612739105349866	0.0284258099178978
"CDS:b1813:nudL:putative_CoA_pyrophosphohydrolase2C_weak_3-phosphohydroxypyruvate_phosphatase:cds1803:+:578:NC_000913.3"	-3.02149369145356	5.44025129769127	20.5148534521796	0.000614058900116604	0.0284258099178978
"CDS:b1626:ydgK:DUF2569_family_inner_membrane_protein:cds1615:+:440:NC_000913.3"	-2.42033819434269	6.01890572378968	20.4182737931887	0.000625906933520585	0.0285868063416293
"CDS:b4501:torI:response_regulator_inhibitor_for_tor_operon:cds2347:+:200:NC_000913.3"	-2.43019606754871	6.26370530195082	20.3821855410451	0.000630402120044932	0.0285868063416293
"CDS:b1770:ydjF:putative_DNA-binding_transcriptional_regulator:cds1758:-:758:NC_000913.3"	-2.54508197505051	5.92820725115878	20.2761731684114	0.000643825644213337	0.0289006178069098
"CDS:b4147:efp:polyproline-specific_translation_elongation_factor_EF-P:cds4065:+:566:NC_000913.3"	-2.87348266154649	9.96434513046803	20.194567716689	0.000654385214499875	0.0290808789323744
"CDS:b2144:sanA:vancomycin_high_temperature_exclusion_protein2C_DUF218_superfamily_protein:cds2128:+:719:NC_000913.3"	-3.29951317319916	5.30130902743664	19.9656770063318	0.000685094003809155	0.0293516574092791
"CDS:b0023:rpsT:30S_ribosomal_subunit_protein_S20:cds21:-:263:NC_000913.3"	-3.18461694773719	10.9214560999643	19.8982071737362	0.000694463331570423	0.0293516574092791
"CDS:b0729:sucD:succinyl-CoA_synthetase2C_NAD28P29-binding2C_alpha_subunit:cds716:+:869:NC_000913.3"	2.89507157607527	9.47379229388709	19.8954153332983	0.000694854222329447	0.0293516574092791
"CDS:b4517:gnsA:putative_phosphatidylethanolamine_synthesis_regulator:cds973:+:173:NC_000913.3"	-2.34722853392882	7.62222302757889	19.8463173703689	0.000701770477774988	0.0293516574092791
"ncRNA:fnrS:rna44:+:121:NC_000913.3"	-4.21616630088891	12.6700408859231	19.8349612306275	0.000703381547303321	0.0293516574092791
"CDS:b1675:ydhZ:uncharacterized_protein:cds1663:-:209:NC_000913.3"	-2.92947594170846	5.92880155196695	19.8327992902993	0.000703688743572493	0.0293516574092791
"CDS:b2175:mepS:murein_DD-endopeptidase2C_space-maker_hydrolase2C_mutational_suppressor_of_prc_thermosensitivity2C_outer_membrane_lipoprotein:cds2160:+:566:NC_000913.3"	-3.00582573546696	10.5103012447926	19.8115822299446	0.000706711823310725	0.0293516574092791
"CDS:b1642:slyA:global_transcriptional_regulator:cds1631:-:434:NC_000913.3"	-2.30669155550695	8.42972067927862	19.7328594364105	0.000718061164703997	0.0295468871846719
"CDS:b2465:tktB:transketolase_22C_thiamine_triphosphate-binding:cds2444:+:2003:NC_000913.3"	2.79984174774535	5.94815638734679	19.8971609740598	0.00073531890701367	0.0299794240620986
"CDS:b0912:ihfB:integration_host_factor_28IHF292C_DNA-binding_protein2C_beta_subunit:cds892:+:284:NC_000913.3"	-2.2159067346875	8.25379012305917	19.4266525710776	0.000764267926666088	0.03087642423731
"CDS:b2281:nuoI:NADH,ubiquinone_oxidoreductase2C_chain_I:cds2265:-:542:NC_000913.3"	2.29910795146625	8.10765758153896	19.3558623564115	0.000775436476645953	0.0310164472190226
"CDS:b4411:ecnB:entericidin_B_membrane_lipoprotein:cds4067:+:146:NC_000913.3"	-3.10546503319754	6.18578230196917	20.5652827799102	0.000791427183735078	0.0310164472190226
"ncRNA:sibE:rna110:-:141:NC_000913.3"	-2.48298769751431	7.16908747278076	19.211422450785	0.000798818408793647	0.0310164472190226
"CDS:b2696:csrA:pleiotropic_regulatory_protein_for_carbon_source_metabolism:cds2658:-:185:NC_000913.3"	-2.49593522684692	9.09802662949741	19.2065710780814	0.000799617859410836	0.0310164472190226
"CDS:b0163:yaeH:UPF0325_family_protein:cds158:-:386:NC_000913.3"	-2.34176290779635	8.47447457680628	19.0922579748644	0.000818727182325622	0.0310164472190226
"CDS:b1787:yeaK:aminoacyl-tRNA_editing_domain_protein:cds1775:+:503:NC_000913.3"	-2.13818230283135	6.21999227325959	19.0916554201493	0.000818829306256549	0.0310164472190226
"CDS:b3235:degS:serine_endoprotease2C_periplasmic:cds3179:+:1067:NC_000913.3"	-2.04184610382535	6.43489654164653	19.0669621916316	0.000823027199190094	0.0310164472190226
"CDS:b3021:mqsA:antitoxin_for_MqsR_toxin3B_transcriptional_repressor:cds2970:-:395:NC_000913.3"	-3.07366757034434	5.2967621318012	19.0637856502373	0.000823569030568106	0.0310164472190226
"CDS:b2845:yqeG:putative_transporter:cds2804:+:1229:NC_000913.3"	-2.16328441964347	6.41805378254527	18.9614685970165	0.000841245317254414	0.0314159175620052
"CDS:b0269:yagF:CP4-6_prophage3B_dehydratase_family_protein:cds263:+:1967:NC_000913.3"	2.11545018125918	6.50697630010754	18.9147761891084	0.00084945817588898	0.0314582677804219
"CDS:b2504:yfgG:uncharacterized_protein:cds2485:+:191:NC_000913.3"	-2.26247074483861	6.59045085794398	18.8242264654342	0.000865652316972355	0.0317930487324392
"CDS:b2582:trxC:thioredoxin_2:cds2565:+:419:NC_000913.3"	-2.70949350059833	6.22109187312095	18.9605275424233	0.000883681879489917	0.0321891989545343
"CDS:b2007:yeeX:UPF0265_family_protein:cds1989:-:329:NC_000913.3"	-2.62600857683868	9.65080790943793	18.5614782463363	0.000914713469750578	0.0328152547418125
"CDS:b0033:carB:carbamoyl-phosphate_synthase_large_subunit:cds31:+:3221:NC_000913.3"	2.50383897068419	6.29878292522323	18.7955783430999	0.000918889209326425	0.0328152547418125
"CDS:b0083:ftsL:membrane_bound_cell_division_protein_at_septum_containing_leucine_zipper_motif:cds80:+:365:NC_000913.3"	-2.07255694486358	7.52330729580344	18.4777658836955	0.000931018180903804	0.0328152547418125
"CDS:b1145:cohE:e14_prophage3B_repressor_protein_phage_e14:cds1121:-:674:NC_000913.3"	-3.59248841605923	6.65587974026498	23.1083147083582	0.000933268207422048	0.0328152547418125
"CDS:b0786:ybhL:UPF0005_family_inner_membrane_protein:cds767:+:704:NC_000913.3"	-2.05312060654938	7.74573758482202	18.4434987831373	0.000937789683215614	0.0328152547418125
"ncRNA:gcvB:rna99:+:205:NC_000913.3"	-4.31379234542365	14.6337522440283	18.398695292069	0.000946729823040488	0.032869276043687
"CDS:b0126:can:carbonic_anhydrase:cds121:-:662:NC_000913.3"	-2.45593756770506	8.16436723271868	18.3283688583803	0.000960963432630837	0.0331048177876856
"CDS:b2018:hisL:his_operon_leader_peptide:cds2002:+:50:NC_000913.3"	-2.48406315009669	5.9716764375299	18.2810139788426	0.000970687934767206	0.0331825937085036
"CDS:b0991:ymcE:cold_shock_gene:cds972:+:230:NC_000913.3"	-2.51400597804589	6.95627370964976	18.4703422912986	0.000982963547603682	0.0333457252332119
"CDS:b4480:hdfR:flhDC_operon_transcriptional_repressor:cds3704:-:839:NC_000913.3"	-2.27919755006941	6.73353752120716	18.1567264354827	0.000996759852545079	0.033557581702351
"CDS:b3674:yidF:putative_Cys-type_oxidative_YidJ-maturating_enzyme:cds3622:-:497:NC_000913.3"	-2.2662636525997	7.16297339291178	18.0709500453107	0.00101522836152979	0.0337114877075095
"CDS:b2895:fldB:flavodoxin_2:cds2851:+:521:NC_000913.3"	-2.04060714157718	7.07164845872161	18.0650970363546	0.00101650300468188	0.0337114877075095
"CDS:b4108:yjdM:zinc-ribbon_family_protein:cds4024:-:335:NC_000913.3"	-2.01470086539529	6.59757578292833	17.9825533281845	0.00103467864041866	0.0340600879853372
"CDS:b0884:infA:translation_initiation_factor_IF-1:cds864:-:218:NC_000913.3"	-2.50639891828538	9.37649831906809	17.7886831879489	0.00107887384691796	0.0351437231198513
"CDS:b1284:yciT:global_regulator_of_transcription3B_DeoR_family:cds1266:-:749:NC_000913.3"	-2.01061457097592	7.06821533065599	17.7692931137099	0.00108341360653007	0.0351437231198513
"CDS:b3065:rpsU:30S_ribosomal_subunit_protein_S21:cds3015:+:215:NC_000913.3"	-2.82412975390102	10.3916733721023	17.7250258320355	0.00109386130448235	0.0352255046168084
"CDS:b0084:ftsI:transpeptidase_involved_in_septal_peptidoglycan_synthesis_28penicillin-binding_protein_329:cds81:+:1766:NC_000913.3"	-2.76387387526722	10.3642368754979	17.633440840992	0.00111585080560343	0.03567511496476
"CDS:b2398:yfeC:DUF1323_family_putative_DNA-binding_protein:cds2380:+:344:NC_000913.3"	-2.02042894415683	7.27574279434535	17.5576968117816	0.00113442588350484	0.0359512208207941
"CDS:b1508:hipB:antitoxin_of_HipAB_toxin-antitoxin_system:cds1494:-:266:NC_000913.3"	-4.18645050386715	4.88886981689299	17.532572201688	0.00114066654719441	0.0359512208207941
"CDS:b3255:accB:acetyl_CoA_carboxylase2C_BCCP_subunit:cds3199:+:470:NC_000913.3"	2.01635442453689	7.74350428003978	17.4351055450931	0.00116525693700435	0.0361661902104536
"CDS:b0956:matP:Ter_macrodomain_organizer_matS-binding_protein:cds936:+:452:NC_000913.3"	-2.05226058382671	7.47634656548327	17.418071792056	0.00116961747770064	0.0361661902104536
"CDS:b4466:yghJ:DUF4092_family_putative_lipoprotein_peptidase:cds2926:-:4562:NC_000913.3"	2.00957913721283	7.37678017175789	17.4091780838212	0.001171901752994	0.0361661902104536
"CDS:b1825:yebO:putative_inner_membrane_protein:cds1815:-:287:NC_000913.3"	-2.05368658376103	6.58426857196598	17.3170834173357	0.00119586305811907	0.0366511408984908
"CDS:b3703:rpmH:50S_ribosomal_subunit_protein_L34:cds3650:+:140:NC_000913.3"	-2.28493570851626	8.91388066263704	17.2541048996627	0.0012125770424253	0.036908851894096
"CDS:b1795:yeaQ:UPF0410_family_protein:cds1785:-:248:NC_000913.3"	-3.32850193490946	7.15550322763356	21.2940044373183	0.0012264086277371	0.0370759179705013
"CDS:b1014:putA:fused_DNA-binding_transcriptional_regulator2Fproline_dehydrogenase2Fpyrroline-5-carboxylate_dehydrogenase:cds996:-:3962:NC_000913.3"	2.16132337363539	7.41318618183394	17.1468446800299	0.00124167247908835	0.0371168004561118
"CDS:b1912:pgsA:phosphatidylglycerophosphate_synthetase:cds1901:-:548:NC_000913.3"	-2.44715927844076	6.79253855120307	17.3604529438939	0.00124446518180933	0.0371168004561118
